
> @hatef/partner-web@0.1.0 dev E:\github\hatef-new version\frontend\partner-web
> dotenv -e ../../.env -- next dev --webpack --port 3001

▲ Next.js 16.2.11 (webpack)
- Local:         http://localhost:3001
- Network:       http://192.168.100.66:3001
✓ Ready in 5.4s

 GET / 200 in 4.4s (next.js: 3.2s, proxy.ts: 213ms, application-code: 981ms)
 GET /login 200 in 2.9s (next.js: 2.6s, proxy.ts: 14ms, application-code: 318ms)
 GET /login 200 in 551ms (next.js: 266ms, proxy.ts: 31ms, application-code: 253ms)
 GET /login 200 in 207ms (next.js: 4ms, proxy.ts: 5ms, application-code: 198ms)
 GET /login 200 in 85ms (next.js: 5ms, proxy.ts: 9ms, application-code: 71ms)
 GET /login 200 in 126ms (next.js: 4ms, proxy.ts: 7ms, application-code: 115ms)
 GET /login 200 in 125ms (next.js: 6ms, proxy.ts: 18ms, application-code: 102ms)
 GET /login 200 in 99ms (next.js: 5ms, proxy.ts: 12ms, application-code: 82ms)
 GET /login 200 in 88ms (next.js: 6ms, proxy.ts: 8ms, application-code: 74ms)
 GET /login 200 in 77ms (next.js: 3ms, proxy.ts: 5ms, application-code: 68ms)
 GET /login 200 in 65ms (next.js: 4ms, proxy.ts: 6ms, application-code: 56ms)
 GET /login 200 in 78ms (next.js: 4ms, proxy.ts: 6ms, application-code: 68ms)
 GET /login 200 in 77ms (next.js: 3ms, proxy.ts: 5ms, application-code: 68ms)
 GET /login 200 in 99ms (next.js: 4ms, proxy.ts: 6ms, application-code: 90ms)
 GET /login 200 in 72ms (next.js: 3ms, proxy.ts: 5ms, application-code: 63ms)
 GET /login 200 in 57ms (next.js: 3ms, proxy.ts: 6ms, application-code: 48ms)
 GET /login 200 in 80ms (next.js: 3ms, proxy.ts: 5ms, application-code: 71ms)
 GET /login 200 in 59ms (next.js: 3ms, proxy.ts: 5ms, application-code: 51ms)
 GET /login 200 in 90ms (next.js: 4ms, proxy.ts: 8ms, application-code: 77ms)
 GET /login 200 in 133ms (next.js: 8ms, proxy.ts: 14ms, application-code: 111ms)
 GET /login 200 in 59ms (next.js: 3ms, proxy.ts: 5ms, application-code: 51ms)
 GET /login 200 in 75ms (next.js: 3ms, proxy.ts: 5ms, application-code: 67ms)
 GET /login 200 in 59ms (next.js: 4ms, proxy.ts: 5ms, application-code: 51ms)
 GET /login 200 in 80ms (next.js: 4ms, proxy.ts: 8ms, application-code: 68ms)
 GET /login 200 in 64ms (next.js: 4ms, proxy.ts: 6ms, application-code: 54ms)
 GET /login 200 in 79ms (next.js: 4ms, proxy.ts: 7ms, application-code: 69ms)
 GET /login 200 in 83ms (next.js: 4ms, proxy.ts: 6ms, application-code: 73ms)
 GET /login 200 in 105ms (next.js: 4ms, proxy.ts: 6ms, application-code: 96ms)
 GET /login 200 in 76ms (next.js: 4ms, proxy.ts: 6ms, application-code: 66ms)
 GET /login 200 in 77ms (next.js: 4ms, proxy.ts: 9ms, application-code: 65ms)
 GET /login 200 in 111ms (next.js: 6ms, proxy.ts: 9ms, application-code: 96ms)
 GET /login 200 in 80ms (next.js: 4ms, proxy.ts: 6ms, application-code: 70ms)
 GET /login 200 in 65ms (next.js: 4ms, proxy.ts: 6ms, application-code: 55ms)
 GET /login 200 in 65ms (next.js: 3ms, proxy.ts: 5ms, application-code: 57ms)
 GET /login 200 in 61ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 6ms, application-code: 55ms)
 GET /login 200 in 79ms (next.js: 4ms, proxy.ts: 6ms, application-code: 69ms)
